Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw,agesq
976,24090350995798,January,AR,1740.6427,634.61,40,42,1,,51,2,5,0,0,"Native, Born In US",71,Administration of human resource programs (923),565,Government - State,No,No,Employed-At Work,1.0,1,15.86525,2.764131182868772,2601
1157,880954060907969,January,AR,1483.9404,1900.0,40,43,1,,36,2,1,2,3,"Native, Born In US",71,Outpatient care centers (6214),740,"Private, For Profit",No,No,Employed-At Work,1.0,1,47.5,3.8607297110405954,1296
1236,5017808077661,January,CA,3452.5706,1615.38,40,39,1,,51,2,1,1,3,"Native, Born In US",93,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",630,Government - Federal,No,No,Employed-At Work,1.0,1,40.3845,3.6984460479831482,2601
1331,60546067908790,January,CA,2601.584,407.5,25,44,1,1.0,59,2,7,0,0,"Native, Born In US",93,Legal services (5411),710,"Private, For Profit",No,No,Employed-At Work,1.0,1,16.3,2.791165107812717,3481
1335,60719083908393,January,CA,3043.5718,2307.69,50,43,9,,39,2,1,1,2,"Native, Born In US",93,Internet publishing and broadcasting and web search portals (51913),640,"Private, For Profit",No,No,Employed-At Work,1.0,1,46.153800000000004,3.83197929775411,1521
1470,95963203035600,January,CA,3033.8343,600.0,40,43,1,,28,1,7,0,0,"Native, Born In US",93,"Seafood and other miscellaneous foods, n.e.c. (3117, 3119)",740,"Private, For Profit",No,No,Employed-At Work,1.0,0,15.0,2.70805020110221,784
1660,300609967303786,January,CA,3544.686,350.0,40,41,1,7.0,24,1,7,0,0,"Native, Born In US",93,Employment services (5613),740,"Private, For Profit",No,No,Employed-At Work,1.0,0,8.75,2.169053700369523,576
1696,400962092107739,January,CA,5741.8532,640.0,40,43,4,,25,2,7,0,0,"Native, Born In US",93,"Clothing and accessories, except shoe, stores (448 exc. 44821, 4483)",520,"Private, For Profit",No,No,Employed-At Work,1.0,1,16.0,2.772588722239781,625
1714,407908140871646,January,CA,2778.1695,600.0,40,40,1,1.0,47,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",640,Government - Local,No,No,Employed-At Work,1.0,1,15.0,2.70805020110221,2209
1730,435002800600122,January,CA,3103.6086,1288.0,50,43,1,,29,2,7,0,0,"Native, Born In US",93,"Other telecommunications services (*517 exc. 5171, 5175)",710,"Private, For Profit",No,No,Employed-At Work,1.0,1,25.76,3.248822901236153,841
1747,460461092603949,January,CA,3577.9197,1923.07,40,44,4,,33,1,1,0,0,"Foreign Born, Not a US Citizen",93,Advertising and related services (5418),710,"Private, For Profit",No,No,Employed-At Work,1.0,0,48.07675,3.872798692268385,1089
1796,560967097207679,January,CA,3079.8836,1923.0,40,41,1,,51,1,1,3,10,"Native, Born In US",93,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,48.075,3.8727622914748436,2601
1874,679140131100970,January,CA,3098.3162,2019.23,40,43,1,,33,2,7,0,0,"Native, Born In US",93,Pharmaceutical and medicine manufacturing (3254),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,50.48075,3.9215920754918434,1089
2096,860843003908894,January,CA,2884.5314,1707.69,45,40,1,,36,2,7,0,0,"Native, Born In US",93,Insurance carriers and related activities (524),565,"Private, For Profit",No,No,Employed-At Work,1.0,1,37.94866666666667,3.63623436927625,1296
2118,906006736079400,January,CA,3408.9719,730.0,40,40,1,1.0,28,1,7,0,0,"Foreign Born, Not a US Citizen",93,"** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",630,"Private, For Profit",No,No,Employed-At Work,1.0,0,18.25,2.9041650800285006,784
2212,946046981039410,January,CA,2958.5585,2692.3,70,43,1,,32,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Independent artists, performing arts, spectator sports, and related industries (711)",500,"Private, For Profit",Yes,,Employed-At Work,1.0,0,38.46142857142858,3.6496558838137165,1024
2355,8033406099661,January,CA,3055.7125,1500.0,40,43,1,,30,2,1,1,1,"Native, Born In US",93,Insurance carriers and related activities (524),640,Government - State,Yes,,Employed-Absent,1.0,1,37.5,3.624340932976365,900
2492,92987002078678,January,CA,3242.6,623.07,40,43,1,,26,1,7,0,0,"Native, Born In US",93,"Management, scientific, and technical consulting services (5416)",735,"Private, For Profit",No,No,Employed-At Work,1.0,0,15.57675,2.745779417912217,676
2662,300600048636919,January,CA,3677.3428,640.0,40,40,2,,34,1,5,1,3,"Native, Born In US",93,** Construction (23),600,"Private, For Profit",No,No,Employed-At Work,1.0,0,16.0,2.772588722239781,1156
2703,300609969342283,January,CA,2982.9516,600.0,10,44,1,,36,2,1,2,5,"Native, Born In US",93,"Management, scientific, and technical consulting services (5416)",630,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,60.0,4.0943445622221,1296
2852,577093189600678,January,CA,2874.5578,900.0,40,43,4,,36,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,Computer systems design and related services (5415),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,22.5,3.1135153092103742,1296
2910,678470975010970,January,CA,2963.9601,2884.61,40,44,1,,57,2,5,0,0,"Native, Born In US",93,Aircraft and parts manufacturing (336411 to 336413),530,"Private, For Profit",Yes,,Employed-At Work,1.0,1,72.11525,4.27826553371462,3249
3094,833092919600838,January,CA,3742.4674,54.0,6,40,1,1.0,41,1,7,2,8,"Foreign Born, Not a US Citizen",93,Other personal services (8129),740,"Private, For Profit",No,No,Employed-At Work,1.0,0,9.0,2.1972245773362196,1681
3267,988096835076220,January,CA,3002.445,2403.84,40,44,4,,37,2,1,1,1,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",735,"Private, For Profit",No,No,Employed-At Work,1.0,1,60.096000000000004,4.095943283585798,1369
3458,916779830459005,January,CA,3063.8079,1720.0,42,45,1,,42,1,5,0,0,"Native, Born In US",93,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",630,Government - Local,No,No,Employed-At Work,1.0,0,40.95238095238095,3.7124099515241302,1764
3474,936999430729003,January,CA,2939.2437,2100.0,40,43,4,,44,2,1,2,10,"Foreign Born, US Cit By Naturalization",93,Offices of physicians (6211),710,"Private, For Profit",No,No,Employed-At Work,1.0,1,52.5,3.960813169597578,1936
3520,986096466039520,January,CA,3393.9323,1538.0,40,45,1,,45,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,38.45,3.649358695951653,2025
3545,36009130800190,January,CO,1692.2726,1130.76,40,44,1,,32,2,7,0,0,"Native, Born In US",84,Administration of human resource programs (923),650,Government - State,No,No,Employed-At Work,1.0,1,28.269,3.341765797892729,1024
3665,899980910530970,January,CO,1575.1598,2884.61,40,43,1,,52,1,7,0,0,"Native, Born In US",84,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,72.11525,4.27826553371462,2704
3875,958449630509004,January,CO,1748.4559,650.4,40,40,1,8.0,24,2,7,1,2,"Native, Born In US",84,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,16.259999999999998,2.7887081041196646,576
3928,80335057908773,January,CO,2225.4333,1057.69,40,43,7,,38,1,7,0,0,"Native, Born In US",84,"Colleges and universities, including junior colleges (6112, 6113)",530,"Private, Nonprofit",No,No,Employed-At Work,1.0,0,26.44225,3.274963109698682,1444
4049,899620724440970,January,CO,1638.3801,1083.2,40,39,1,,30,1,7,0,0,"Native, Born In US",84,"Not specified retail trade (Part of 44, 45)",650,"Private, For Profit",No,No,Employed-At Work,1.0,0,27.080000000000002,3.2987954480440744,900
4123,5057007074941,January,CT,1367.0535,1346.15,50,41,1,,27,2,1,0,0,"Foreign Born, Not a US Citizen",CT,Employment services (5613),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,26.923000000000002,3.292980939874984,729
4199,720794095507529,January,CT,1632.1152,769.0,50,43,1,,24,1,7,0,0,"Native, Born In US",CT,"** Machinery, equipment, and supplies, merchant wholesalers (*4238)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,15.38,2.733067964077498,576
4261,27690790799096,January,CT,1294.7677,1634.0,40,39,1,,32,2,7,1,1,"Native, Born In US",CT,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,40.85,3.709906821306012,1024
4292,74967207041905,January,CT,1728.189,750.0,50,44,4,,36,1,1,2,8,"Foreign Born, US Cit By Naturalization",CT,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,15.0,2.70805020110221,1296
4361,300907905457784,January,CT,1226.2167,1019.23,45,43,1,,53,2,1,1,4,"Native, Born In US",CT,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,22.649555555555555,3.1201402294652456,2809
4463,732098749900680,January,CT,1176.5861,600.0,40,41,1,,39,2,1,1,4,"Native, Born In US",CT,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,15.0,2.70805020110221,1521
4554,982019950079130,January,CT,1078.3258,1020.0,40,39,1,,63,2,5,0,0,"Native, Born In US",CT,Grocery stores (4451),710,"Private, For Profit",No,No,Employed-At Work,1.0,1,25.5,3.2386784521643803,3969
4641,733079289900505,January,CT,1204.0516,576.92,40,40,1,,47,2,1,0,0,"Native, Born In US",CT,Automobile dealers (4411),710,"Private, For Profit",No,No,Employed-At Work,1.0,1,14.422999999999998,2.668824154601373,2209
4810,98450301230971,January,DE,421.6441,1120.0,40,40,2,,52,2,1,0,0,"Native, Born In US",51,Hospitals (622),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,28.0,3.332204510175204,2704
4844,195957707017025,January,DE,417.6999,1923.07,40,43,2,,48,2,5,0,0,"Native, Born In US",51,"Justice, public order, and safety activities (922, pt. 92115)",630,Government - Local,No,No,Employed-At Work,1.0,1,48.07675,3.872798692268385,2304
4850,201033043905175,January,DE,433.9178,1730.76,50,43,1,,56,2,1,3,10,"Native, Born In US",51,Medical equipment and supplies manufacturing (3391),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,34.6152,3.544292891955273,3136
4984,710459730747107,January,DE,497.2613,740.0,40,40,2,,37,2,6,0,0,"Native, Born In US",51,"Administration of economic programs and space research (926, 927)",740,Government - State,No,No,Employed-At Work,1.0,1,18.5,2.917770732084279,1369
5072,47531310720281,January,DC,345.7993,672.8,40,44,1,8.0,28,1,3,0,0,"Foreign Born, US Cit By Naturalization",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,16.82,2.822568654544802,784
5073,47531310970291,January,DC,344.5236,2884.61,60,46,1,,56,1,1,3,10,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,48.07683333333333,3.8728004256064557,3136
5077,57051297170930,January,DC,343.462,769.0,45,43,1,,30,2,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,1,17.08888888888889,2.8384284797353243,900
5097,128140325700731,January,DC,374.1937,730.76,45,43,1,,24,2,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,1,16.23911111111111,2.787422598698049,576
5140,178997106057108,January,DC,401.2996,1923.0,40,44,2,,42,1,7,0,0,"Native, Born In US",53,"Civic, social, advocacy organizations, and grantmaking and giving services (8132, 8133, 8134)",726,"Private, Nonprofit",No,No,Employed-At Work,1.0,0,48.075,3.8727622914748436,1764
5145,190963305075140,January,DC,307.7461,2884.61,60,43,1,,27,1,7,0,0,"Native, Born In US",53,Computer systems design and related services (5415),710,"Private, For Profit",No,No,Employed-At Work,1.0,0,48.07683333333333,3.8728004256064557,729
5183,198570717440971,January,DC,374.1937,600.0,40,43,1,,24,2,7,0,0,"Native, Born In US",53,"Museums, art galleries, historical sites, and similar institutions (712)",725,Government - Federal,No,No,Employed-At Work,1.0,1,15.0,2.70805020110221,576
5184,198570717440971,January,DC,307.7461,1442.0,45,44,1,,25,1,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",700,"Private, For Profit",No,No,Employed-At Work,1.0,0,32.044444444444444,3.4671238280745746,625
5202,198993702003155,January,DC,458.5717,865.0,40,40,2,,47,1,5,0,0,"Native, Born In US",53,Computer systems design and related services (5415),740,"Private, For Profit",No,No,Employed-At Work,1.0,0,21.625,3.073850052817943,2209
5203,199050754740971,January,DC,312.1121,2211.53,45,43,1,,37,2,7,1,2,"Native, Born In US",53,Legal services (5411),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,49.14511111111111,3.894777372899364,1369
5209,211755053908274,January,DC,290.9986,576.0,8,44,1,,61,2,1,0,0,"Native, Born In US",53,"Other schools, instruction, and educational services (6116, 6117)",725,"Private, Nonprofit",No,No,Employed-Absent,1.0,1,72.0,4.276666119016055,3721
5218,270214071313058,January,DC,290.7775,1615.0,40,43,1,,42,1,7,0,0,"Native, Born In US",53,"Other professional, scientific, and technical services (5419 exc. 54194)",735,Government - Federal,No,No,Employed-At Work,1.0,0,40.375,3.6982107815428207,1764
5225,271196749100540,January,DC,347.8658,2884.61,60,43,1,,38,1,6,0,0,"Native, Born In US",53,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",710,Government - Federal,No,No,Employed-At Work,1.0,0,48.07683333333333,3.8728004256064557,1444
5243,310107815983113,January,DC,307.7461,1153.84,50,43,1,,26,1,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,23.0768,3.1388277838471086,676
5277,411147053808797,January,DC,312.1121,1846.15,40,45,1,,38,2,7,0,0,"Native, Born In US",53,Dairy product manufacturing (3115),565,"Private, For Profit",No,No,Employed-At Work,1.0,1,46.15375,3.8319782144191064,1444
5282,503900271683141,January,DC,313.4872,1000.17,40,45,1,,32,1,1,0,0,"Native, Born In US",53,Administration of human resource programs (923),630,Government - Federal,No,Yes,Employed-At Work,1.0,0,25.00425,3.2190458104198383,1024
5303,537191478100874,January,DC,347.8658,2115.38,45,44,1,,39,1,1,1,1,"Native, Born In US",53,Public finance activities (92113),710,Government - Federal,No,No,Employed-At Work,1.0,0,47.00844444444445,3.8503272546022442,1521
5335,707104141107571,January,DC,369.9459,1000.0,40,43,1,,24,1,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,25.0,3.2188758248682006,576
5352,710107814027335,January,DC,401.2996,1923.17,40,44,2,,41,1,1,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,48.07925,3.8728506911036225,1681
5379,711203017908594,January,DC,351.0761,2596.15,40,43,1,1.0,61,1,1,0,0,"Native, Born In US",53,National security and international affairs (928),710,Government - Federal,No,No,Employed-At Work,1.0,0,64.90375,4.172905403242624,3721
5388,720714075513528,January,DC,343.462,865.38,40,43,1,,31,2,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",650,"Private, For Profit",No,No,Employed-At Work,1.0,1,21.6345,3.0742892627095375,961
5403,771558430227105,January,DC,307.7461,1442.3,60,44,1,,29,1,7,0,0,"Native, Born Abroad Of US Parent(s)",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,24.038333333333334,3.179649778367364,841
5442,975041947139710,January,DC,312.1121,2884.61,50,43,1,,39,2,7,0,0,"Native, Born In US",53,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-Absent,1.0,1,57.6922,4.0551219824004106,1521
5499,193973404073228,January,FL,3610.0694,400.0,40,39,1,,25,1,7,0,0,"Native, Born In US",59,** Construction (23),600,"Private, For Profit",No,No,Employed-At Work,1.0,0,10.0,2.302585092994046,625
5504,194967605024225,January,FL,3610.9758,2500.0,60,43,1,,51,2,5,0,0,"Native, Born In US",59,"** Alcoholic beverages, merchant wholesalers (*4248)",725,"Private, For Profit",No,No,Employed-At Work,1.0,1,41.666666666666664,3.7297014486341915,2601
5576,433197439200872,January,FL,3797.7177,900.0,40,39,1,,50,1,1,1,4,"Native, Born In US",59,** Construction (23),600,"Private, For Profit",No,No,Employed-At Work,1.0,0,22.5,3.1135153092103742,2500
5678,970925092213009,January,FL,4013.8477,650.0,40,38,1,,34,2,6,3,13,"Native, Born In US",59,Real estate (531),640,"Private, For Profit",No,No,Employed-At Work,1.0,1,16.25,2.7880929087757464,1156
5855,121328057001102,January,FL,4209.1922,800.0,40,42,1,2.0,55,1,1,1,3,"Native, Born in PR or US Outlying Area",59,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,0,20.0,2.995732273553991,3025
5878,192913007097235,January,FL,3937.0534,2200.0,40,43,1,,46,1,1,0,0,"Native, Born In US",59,Employment services (5613),630,"Private, For Profit",No,No,Employed-At Work,1.0,0,55.0,4.007333185232471,2116
6033,310209940988186,January,FL,3947.8802,900.0,40,42,1,,47,1,1,2,3,"Native, Born In US",59,National security and international affairs (928),565,Government - Federal,No,No,Employed-At Work,1.0,0,22.5,3.1135153092103742,2209
6260,912799670579106,January,FL,3937.0534,1538.46,40,43,1,,46,1,7,0,0,"Native, Born In US",59,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,0,38.4615,3.649657740960155,2116
6329,962309670489109,January,FL,3948.0832,1040.0,40,39,1,7.0,36,2,3,0,0,"Native, Born In US",59,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,26.0,3.258096538021482,1296
6563,31152087908694,January,GA,2995.2567,1346.0,40,40,1,,29,2,7,0,0,"Native, Born In US",58,Legal services (5411),740,"Private, For Profit",No,No,Employed-Absent,1.0,1,33.65,3.5160130560907366,841
6605,136108520300117,January,GA,2892.2199,1846.0,40,45,1,,42,2,1,0,0,"Native, Born In US",58,Elementary and secondary schools (6111),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,46.15,3.8318969609488613,1764
6672,360938094913699,January,GA,2766.6837,2000.0,50,43,1,,43,2,1,0,0,"Native, Born In US",58,"** Drugs, sundries, and chemical and allied products, merchant (wholesalerss*4242, 4246)",520,"Private, For Profit",No,No,Employed-At Work,1.0,1,40.0,3.6888794541139363,1849
6682,399100998080971,January,GA,2995.2567,507.69,40,43,1,,28,2,1,1,1,"Native, Born In US",58,"** Miscellaneous (nondurable goods, merchant wholesalerss*4249 exc. 42491)",530,"Private, For Profit",No,No,Employed-At Work,1.0,1,12.69225,2.540991570974168,784
6810,968003752139410,January,GA,4211.8421,865.0,40,42,2,,53,1,5,0,0,"Native, Born In US",58,Air transportation (481),725,"Private, For Profit",No,No,Employed-At Work,1.0,0,21.625,3.073850052817943,2809
6936,23271330015208,January,GA,2840.7938,1778.84,40,44,1,,31,2,1,1,1,"Native, Born In US",58,Hospitals (622),726,"Private, For Profit",No,No,Employed-At Work,1.0,1,44.471,3.7948372913397095,961
7042,993409830219102,January,GA,2496.3413,840.0,40,43,2,,30,2,7,0,0,"Native, Born In US",58,"Colleges and universities, including junior colleges (6112, 6113)",630,"Private, For Profit",No,No,Employed-At Work,1.0,1,21.0,3.044522437723423,900
7175,914025933179500,January,HI,734.17,1153.84,40,43,4,,63,2,1,0,0,"Native, Born In US",95,Administration of human resource programs (923),740,Government - State,Yes,,Employed-At Work,1.0,1,28.845999999999997,3.3619713351613183,3969
7192,996025770179550,January,HI,719.5903,1153.84,40,43,4,,49,2,1,0,0,"Native, Born In US",95,Advertising and related services (5418),530,"Private, For Profit",No,No,Employed-At Work,1.0,1,28.845999999999997,3.3619713351613183,2401
7358,777075921139550,January,HI,492.1872,1250.0,40,41,4,,41,2,1,2,3,"Native, Born In US",95,"Justice, public order, and safety activities (922, pt. 92115)",630,Government - Federal,No,No,Employed-At Work,1.0,1,31.25,3.4420193761824107,1681
7412,451834097001707,January,HI,561.8771,1923.07,40,43,4,,44,2,1,2,3,"Native, Born In US",95,Labor unions (81393),630,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,48.07675,3.872798692268385,1936
7450,720954075513529,January,HI,946.5388,692.3,40,39,5,,45,1,1,2,3,"Native, Born In US",95,4265,520,"Private, For Profit",No,No,Employed-At Work,1.0,0,17.307499999999997,2.8511399335700434,2025
7511,916459770749107,January,ID,1334.5386,225.0,24,40,1,,21,1,7,0,0,"Native, Born In US",82,Management of companies and enterprises (551),520,"Private, For Profit",No,No,Employed-At Work,1.0,0,9.375,2.2380465718564744,441
7683,108003508029631,January,ID,1048.9474,1057.69,40,43,1,,42,1,1,2,10,"Native, Born In US",82,"Coating, engraving, heat treating and allied activities (3328)",735,"Private, For Profit",No,No,Employed-At Work,1.0,0,26.44225,3.274963109698682,1764
7780,267679770099105,January,IL,3128.3294,1000.0,40,43,2,,25,2,7,0,0,"Native, Born In US",IL,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",710,"Private, For Profit",No,No,Employed-At Work,1.0,1,25.0,3.2188758248682006,625
7811,310709963719303,January,IL,3183.6824,1923.0,40,46,2,,45,1,1,3,5,"Native, Born In US",IL,"Colleges and universities, including junior colleges (6112, 6113)",725,"Private, For Profit",No,No,Employed-At Work,1.0,0,48.075,3.8727622914748436,2025
7874,710700048086710,January,IL,2667.8357,1500.0,60,43,1,,28,1,7,0,0,"Native, Born In US",IL,Employment services (5613),630,"Private, For Profit",No,No,Employed-At Work,1.0,0,25.0,3.2188758248682006,784
7875,710700048086710,January,IL,2667.8357,1500.0,60,43,1,,28,1,7,0,0,"Native, Born In US",IL,Employment services (5613),630,"Private, For Profit",No,No,Employed-At Work,1.0,0,25.0,3.2188758248682006,784
7936,904067207178880,January,IL,2614.6325,961.53,35,43,1,,55,2,1,0,0,"Native, Born In US",IL,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",530,Government - Local,No,No,Employed-At Work,1.0,1,27.472285714285714,3.313177704300722,3025
7986,975091413499,January,IL,3317.2005,1260.0,45,42,1,,45,1,5,0,0,"Native, Born In US",IL,Building material and supplies dealers (4441 exc. 44413),600,"Private, For Profit",No,No,Employed-At Work,1.0,0,28.0,3.332204510175204,2025
8061,127800830260102,January,IL,2531.2913,1346.15,40,43,1,,26,1,1,0,0,"Native, Born In US",IL,"Miscellaneous manufacturing, n.e.c. (3399 exc. 33992, 33993)",530,"Private, For Profit",No,No,Employed-At Work,1.0,0,33.65375,3.516124491189194,676
8063,132105030700114,January,IL,2658.9998,2884.61,40,43,4,,41,1,1,2,3,"Foreign Born, US Cit By Naturalization",IL,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,72.11525,4.27826553371462,1681
8076,192963303039768,January,IL,3226.2085,743.15,40,40,1,,52,1,1,1,3,"Native, Born In US",IL,Hospitals (622),530,"Private, Nonprofit",No,No,Employed-At Work,1.0,0,18.57875,2.9220184544809675,2704
8165,310709763719383,January,IL,2921.506,1000.0,40,43,1,2.0,40,1,1,0,0,"Native, Born In US",IL,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,0,25.0,3.2188758248682006,1600
8226,570975090413259,January,IL,2480.8111,961.53,40,40,1,,58,2,7,0,0,"Native, Born In US",IL,"Administration of economic programs and space research (926, 927)",565,Government - State,No,No,Employed-At Work,1.0,1,24.038249999999998,3.179646311676199,3364
8540,799750691340971,January,IL,3746.1526,900.0,40,40,1,,64,1,5,0,0,"Native, Born In US",IL,Building material and supplies dealers (4441 exc. 44413),600,"Private, For Profit",No,No,Employed-At Work,1.0,0,22.5,3.1135153092103742,4096
8575,951097999139510,January,IL,2920.4835,1942.3,45,44,2,,33,2,1,2,8,"Native, Born In US",IL,"Management, scientific, and technical consulting services (5416)",630,"Private, For Profit",No,No,Employed-At Work,1.0,1,43.16222222222222,3.764965627067767,1089
8747,581625007001201,January,IN,3109.812,1523.07,50,44,3,,33,1,1,0,0,"Native, Born In US",IN,"Management, scientific, and technical consulting services (5416)",740,"Private, For Profit",No,No,Employed-At Work,1.0,0,30.461399999999998,3.416460308328068,1089
8909,976058977139690,January,IN,2953.2202,1384.0,50,43,1,,63,1,1,0,0,"Native, Born In US",IN,"Miscellaneous manufacturing, n.e.c. (3399 exc. 33992, 33993)",630,"Private, For Profit",No,No,Employed-At Work,1.0,0,27.68,3.3207101307494686,3969
8966,930191619800893,January,IN,2758.0352,904.0,40,41,1,,47,2,5,1,3,"Native, Born In US",IN,Services incidental to transportation (488),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,22.6,3.1179499062782403,2209
9009,194967507054988,January,IA,1526.9436,1730.76,45,40,1,,55,1,1,0,0,"Native, Born In US",IA,** Construction (23),530,"Private, For Profit",No,No,Employed-At Work,1.0,0,38.461333333333336,3.6496534076130995,3025
